code,name,market
005930,삼성전자,KOSPI
000660,SK하이닉스,KOSPI
373220,LG에너지솔루션,KOSPI
207940,삼성바이오로직스,KOSPI
005380,현대차,KOSPI
000270,기아,KOSPI
068270,셀트리온,KOSPI
105560,KB금융,KOSPI
055550,신한지주,KOSPI
035420,NAVER,KOSPI
035720,카카오,KOSPI
006400,삼성SDI,KOSPI
003670,포스코퓨처엠,KOSPI
028260,삼성물산,KOSPI
012330,현대모비스,KOSPI
066570,LG전자,KOSPI
051910,LG화학,KOSPI
096770,SK이노베이션,KOSPI
034730,SK,KOSPI
003550,LG,KOSPI
015760,한국전력,KOSPI
032830,삼성생명,KOSPI
086790,하나금융지주,KOSPI
316140,우리금융지주,KOSPI
009150,삼성전기,KOSPI
017670,SK텔레콤,KOSPI
030200,KT,KOSPI
033780,KT&G,KOSPI
010130,고려아연,KOSPI
011200,HMM,KOSPI
034020,두산에너빌리티,KOSPI
018260,삼성에스디에스,KOSPI
010950,S-Oil,KOSPI
024110,기업은행,KOSPI
000810,삼성화재,KOSPI
036570,엔씨소프트,KOSPI
259960,크래프톤,KOSPI
003490,대한항공,KOSPI
004020,현대제철,KOSPI
011170,롯데케미칼,KOSPI
138930,BNK금융지주,KOSPI
161390,한국타이어앤테크놀로지,KOSPI
047050,포스코인터내셔널,KOSPI
090430,아모레퍼시픽,KOSPI
051900,LG생활건강,KOSPI
326030,SK바이오팜,KOSPI
352820,하이브,KOSPI
005490,POSCO홀딩스,KOSPI
006800,미래에셋증권,KOSPI
085620,미래에셋생명,KOSPI
071050,한국금융지주,KOSPI
039490,키움증권,KOSDAQ
009540,HD한국조선해양,KOSPI
329180,HD현대중공업,KOSPI
042660,한화오션,KOSPI
012450,한화에어로스페이스,KOSPI
010140,삼성중공업,KOSPI
064350,현대로템,KOSPI
000150,두산,KOSPI
139480,이마트,KOSPI
004170,신세계,KOSPI
097950,CJ제일제당,KOSPI
000100,유한양행,KOSPI
128940,한미약품,KOSPI
185750,종근당,KOSPI
069620,대웅제약,KOSPI
003230,삼양식품,KOSPI
078930,GS,KOSPI
007070,GS리테일,KOSPI
032640,LG유플러스,KOSPI
251270,넷마블,KOSPI
035760,CJ ENM,KOSDAQ
041510,에스엠,KOSDAQ
035900,JYP Ent.,KOSDAQ
122870,와이지엔터테인먼트,KOSDAQ
377300,카카오페이,KOSDAQ
263750,펄어비스,KOSDAQ
293490,카카오게임즈,KOSDAQ
112040,위메이드,KOSDAQ
095340,ISC,KOSDAQ
247540,에코프로비엠,KOSDAQ
086520,에코프로,KOSDAQ
028300,HLB,KOSDAQ
196170,알테오젠,KOSDAQ
397880,셀비온,KOSDAQ
328130,루닛,KOSDAQ
